Race ID,Position,Last Name,First Name,Constructor,Points,Fastest Lap Time,Fastest Lap Avg Speed (kph),Status,Driver Code,Driver ID
1,1,Bottas,Valtteri,Mercedes,26,1:25.580,223.075,Finished,BOT,bottas
1,2,Hamilton,Lewis,Mercedes,18,1:26.057,221.839,Finished,HAM,hamilton
1,3,Verstappen,Max,Red Bull,15,1:26.256,221.327,Finished,VER,max_verstappen
1,4,Vettel,Sebastian,Ferrari,12,1:27.954,217.054,Finished,VET,vettel
1,5,Leclerc,Charles,Ferrari,10,1:26.926,219.621,Finished,LEC,leclerc
1,6,Magnussen,Kevin,Haas F1 Team,8,1:28.182,216.493,Finished,MAG,kevin_magnussen
1,7,Hülkenberg,Nico,Renault,6,1:28.444,215.851,+1 Lap,HUL,hulkenberg
1,8,Räikkönen,Kimi,Alfa Romeo,4,1:28.270,216.277,+1 Lap,RAI,raikkonen
1,9,Stroll,Lance,Racing Point,2,1:27.568,218.011,+1 Lap,STR,stroll
1,10,Kvyat,Daniil,Toro Rosso,1,1:27.448,218.310,+1 Lap,KVY,kvyat
1,11,Gasly,Pierre,Red Bull,0,1:27.229,218.858,+1 Lap,GAS,gasly
1,12,Norris,Lando,McLaren,0,1:28.555,215.581,+1 Lap,NOR,norris
1,13,Pérez,Sergio,Racing Point,0,1:28.485,215.751,+1 Lap,PER,perez
1,14,Albon,Alexander,Toro Rosso,0,1:28.188,216.478,+1 Lap,ALB,albon
1,15,Giovinazzi,Antonio,Alfa Romeo,0,1:28.479,215.766,+1 Lap,GIO,giovinazzi
1,16,Russell,George,Williams,0,1:28.713,215.197,+2 Laps,RUS,russell
1,17,Kubica,Robert,Williams,0,1:29.284,213.821,+3 Laps,KUB,kubica
1,18,Grosjean,Romain,Haas F1 Team,0,1:28.462,215.807,Wheel,GRO,grosjean
1,19,Ricciardo,Daniel,Renault,0,1:29.848,212.478,Damage,RIC,ricciardo
1,20,Sainz,Carlos,McLaren,0,1:30.899,210.022,Engine,SAI,sainz
2,1,Hamilton,Lewis,Mercedes,25,1:33.528,208.314,Finished,HAM,hamilton
2,2,Bottas,Valtteri,Mercedes,18,1:34.209,206.808,Finished,BOT,bottas
2,3,Leclerc,Charles,Ferrari,16,1:33.411,208.575,Finished,LEC,leclerc
2,4,Verstappen,Max,Red Bull,12,1:35.311,204.417,Finished,VER,max_verstappen
2,5,Vettel,Sebastian,Ferrari,10,1:34.895,205.313,Finished,VET,vettel
2,6,Norris,Lando,McLaren,8,1:35.777,203.422,Finished,NOR,norris
2,7,Räikkönen,Kimi,Alfa Romeo,6,1:35.589,203.822,Finished,RAI,raikkonen
2,8,Gasly,Pierre,Red Bull,4,1:35.291,204.460,Finished,GAS,gasly
2,9,Albon,Alexander,Toro Rosso,2,1:36.752,201.372,Finished,ALB,albon
2,10,Pérez,Sergio,Racing Point,1,1:36.330,202.254,Finished,PER,perez
2,11,Giovinazzi,Antonio,Alfa Romeo,0,1:35.237,204.575,Finished,GIO,giovinazzi
2,12,Kvyat,Daniil,Toro Rosso,0,1:34.934,205.228,+1 Lap,KVY,kvyat
2,13,Magnussen,Kevin,Haas F1 Team,0,1:35.892,203.178,+1 Lap,MAG,kevin_magnussen
2,14,Stroll,Lance,Racing Point,0,1:37.037,200.781,+1 Lap,STR,stroll
2,15,Russell,George,Williams,0,1:37.313,200.211,+1 Lap,RUS,russell
2,16,Kubica,Robert,Williams,0,1:37.903,199.005,+2 Laps,KUB,kubica
2,17,Hülkenberg,Nico,Renault,0,1:35.215,204.623,Engine,HUL,hulkenberg
2,18,Ricciardo,Daniel,Renault,0,1:36.697,201.487,Out of fuel,RIC,ricciardo
2,19,Sainz,Carlos,McLaren,0,1:35.586,203.829,Collision damage,SAI,sainz
2,20,Grosjean,Romain,Haas F1 Team,0,1:37.262,200.316,Retired,GRO,grosjean
3,1,Hamilton,Lewis,Mercedes,25,1:35.892,204.642,Finished,HAM,hamilton
3,2,Bottas,Valtteri,Mercedes,18,1:34.872,206.842,Finished,BOT,bottas
3,3,Vettel,Sebastian,Ferrari,15,1:34.836,206.921,Finished,VET,vettel
3,4,Verstappen,Max,Red Bull,12,1:36.143,204.108,Finished,VER,max_verstappen
3,5,Leclerc,Charles,Ferrari,10,1:34.860,206.869,Finished,LEC,leclerc
3,6,Gasly,Pierre,Red Bull,9,1:34.742,207.126,Finished,GAS,gasly
3,7,Ricciardo,Daniel,Renault,6,1:38.632,198.957,+1 Lap,RIC,ricciardo
3,8,Pérez,Sergio,Racing Point,4,1:38.702,198.816,+1 Lap,PER,perez
3,9,Räikkönen,Kimi,Alfa Romeo,2,1:37.812,200.625,+1 Lap,RAI,raikkonen
3,10,Albon,Alexander,Toro Rosso,1,1:38.901,198.416,+1 Lap,ALB,albon
3,11,Grosjean,Romain,Haas F1 Team,0,1:36.873,202.570,+1 Lap,GRO,grosjean
3,12,Stroll,Lance,Racing Point,0,1:36.678,202.978,+1 Lap,STR,stroll
3,13,Magnussen,Kevin,Haas F1 Team,0,1:37.471,201.327,+1 Lap,MAG,kevin_magnussen
3,14,Sainz,Carlos,McLaren,0,1:37.502,201.263,+1 Lap,SAI,sainz
3,15,Giovinazzi,Antonio,Alfa Romeo,0,1:38.048,200.142,+1 Lap,GIO,giovinazzi
3,16,Russell,George,Williams,0,1:37.283,201.716,+2 Laps,RUS,russell
3,17,Kubica,Robert,Williams,0,1:39.772,196.684,+2 Laps,KUB,kubica
3,18,Norris,Lando,McLaren,0,1:38.346,199.536,Collision,NOR,norris
3,19,Kvyat,Daniil,Toro Rosso,0,1:37.975,200.291,Collision,KVY,kvyat
3,20,Hülkenberg,Nico,Renault,0,1:39.677,196.871,Power Unit,HUL,hulkenberg
4,1,Bottas,Valtteri,Mercedes,25,1:44.024,207.748,Finished,BOT,bottas
